MODULE,TRN_REF_NO,EVENT_SR_NO,EVENT,AC_ENTRY_SR_NO,AC_BRANCH,AC_NO,AC_CCY,DRCR_IND,TRN_CODE,AMOUNT_TAG,FCY_AMOUNT,EXCH_RATE,LCY_AMOUNT,RELATED_CUSTOMER,RELATED_ACCOUNT,RELATED_REFERENCE,MIS_FLAG,MIS_HEAD,TRN_DT,VALUE_DT,TXN_INIT_DATE,FINANCIAL_CYCLE,PERIOD_CODE,INSTRUMENT_CODE,BATCH_NO,CURR_NO,USER_ID,BANK_CODE,AVLDAYS,BALANCE_UPD,TYPE,AUTH_ID,PRINT_STAT,AUTH_STAT,CATEGORY,CUST_GL,DISTRIBUTED,NODE,DELETE_STAT,ON_LINE,UPDACT,NODE_SR_NO,NETTING_IND,IB,FLG_POSITION_STATUS,GLMIS_UPDATE_FLAG,PRODUCT_ACCRUAL,TRANSACTION_COUNT,VDBAL_UPDATE_FLAG,GLMIS_UPDATE_STATUS,DEPARTMENT_CODE,CUSTOM_REF_NO,INTERFACE_REF_NO,CUSTOMER_REF_NO,PROCESSED_FLAG,MIS_SPREAD,AML_EXCEPTION,HIDE_TXN_IN_STMT,PNL_HIST_IND,ECA_ALLOWED,ECA_STATUS,INTERNAL_GL_TYPE,SYSTEM_AC_NO,MIS_UNIT_TYPE,MIS_UNIT_REF_NO,SYS_AC_VDBAL_UPD,EOD_WASH_STATUS,UNCOL_PROCESS_STATUS,RECV_ORIG_AC_NO,GAAP_INDICATOR,BAL_CHK_ONLINE,BAL_CHK_BATCH,REVL_ONLINE,DELINQUENCY_PRODUCT,EXTERNAL_REF_NO,PRODUCT,TXN_ID,REAL_DT_TIME,SOURCE_CODE,DD_CREATION_DT,DD_LAST_UPD,DD_ID
MO,TRN123456789,358723,AUTH,225756,001,0011223344,USD,D,ATM,PRINCIPAL,6200.000,4.17000000,6200.000,CUST000123,0011223344,RELATED_REFERENC,Y,MIS_HEAD_,2026-04-10,2026-04-10,2026-04-10,FINANCIAL,PER,INSTRUMENT_CODE_,BATC,322207,USER_A01,BANK_CODE_1,27,B,T,USER_A01,P,A,C,C,D,NODE_1,Y,O,U,302308,Y,I,F,Y,1,15,Y,G,DEP,CUSTOM_REF_NO_1,INTERFACE_REF_NO_1,CUST000001,Y,M,A,Y,Y,E,E,I,SYSTEM_AC_NO_1,M,MIS_UNIT_REF_NO_1,S,E,U,RECV_ORIG_AC_NO_1,GA,B,B,R,SAV1,EXTERNAL_REF_NO_,SAV1,TXN0000000000000001,2026-01-01 00:00:00,SOURCE_CODE_1,2026-01-01 00:00:00,2026-01-01 00:00:00,1
MO,TRN_AUDIT_EVT_1,879733,DRP,851170,002,0011223344,PEN,C,DEP,AMOUNT_TAG_2,17519.100,2.55000000,10125.300,CUST000123,0011223344,RELATED_REFERENC,N,MIS_HEAD_,2026-04-10,2026-04-10,2026-04-10,FINANCIAL,PER,INSTRUMENT_CODE_,BATC,418512,USER_A01,BANK_CODE_2,7,B,T,USER_A01,P,A,C,C,D,NODE_2,Y,O,U,765231,N,I,F,N,1,27,N,G,DEP,CUSTOM_REF_NO_2,INTERFACE_REF_NO_2,CUST000002,N,M,A,N,N,E,E,I,SYSTEM_AC_NO_2,M,MIS_UNIT_REF_NO_2,S,E,U,RECV_ORIG_AC_NO_2,GA,B,B,R,CURR,EXTERNAL_REF_NO_,CURR,TXN0000000000000002,2026-01-02 01:07:00,SOURCE_CODE_2,2026-01-02 01:07:00,2026-01-02 01:07:00,2
MO,TRN_AUDIT_EVT_2,307272,CRP,542277,003,0011223344,EUR,D,WDR,AMOUNT_TAG_3,17269.500,2.61000000,14569.000,CUST000123,0011223344,RELATED_REFERENC,N,MIS_HEAD_,2026-04-10,2026-04-10,2026-04-10,FINANCIAL,PER,INSTRUMENT_CODE_,BATC,580520,USER_A01,BANK_CODE_3,4,B,T,USER_A01,P,A,C,C,D,NODE_3,Y,O,U,722218,N,I,F,N,1,0,N,G,DEP,CUSTOM_REF_NO_3,INTERFACE_REF_NO_3,CUST000003,N,M,A,N,N,E,E,I,SYSTEM_AC_NO_3,M,MIS_UNIT_REF_NO_3,S,E,U,RECV_ORIG_AC_NO_3,GA,B,B,R,LOAN,EXTERNAL_REF_NO_,LOAN,TXN0000000000000003,2026-01-03 02:14:00,SOURCE_CODE_3,2026-01-03 02:14:00,2026-01-03 02:14:00,3
MO,TRN000000000004,395225,EVEN,534890,004,100000000004,BRL,C,TRF,AMOUNT_TAG_4,15087.700,3.68000000,14979.800,CUST000004,100000000004,RELATED_REFERENC,N,MIS_HEAD_,2026-01-04,2026-01-04,2026-01-04,FINANCIAL,PER,INSTRUMENT_CODE_,BATC,61099,USER_ID_4,BANK_CODE_4,3,B,T,AUTH_ID_4,P,A,C,C,D,NODE_4,Y,O,U,369880,N,I,F,N,1,31,N,G,DEP,CUSTOM_REF_NO_4,INTERFACE_REF_NO_4,CUST000004,N,M,A,N,N,E,E,I,SYSTEM_AC_NO_4,M,MIS_UNIT_REF_NO_4,S,E,U,RECV_ORIG_AC_NO_4,GA,B,B,R,TD01,EXTERNAL_REF_NO_,TD01,TXN0000000000000004,2026-01-04 03:21:00,SOURCE_CODE_4,2026-01-04 03:21:00,2026-01-04 03:21:00,4
MO,TRN000000000005,611715,EVEN,143777,005,100000000005,USD,D,FEE,AMOUNT_TAG_5,15581.800,1.06000000,11889.600,CUST000005,100000000005,RELATED_REFERENC,N,MIS_HEAD_,2026-01-05,2026-01-05,2026-01-05,FINANCIAL,PER,INSTRUMENT_CODE_,BATC,58637,USER_ID_5,BANK_CODE_5,10,B,T,AUTH_ID_5,P,A,C,C,D,NODE_5,Y,O,U,870546,N,I,F,N,1,31,N,G,DEP,CUSTOM_REF_NO_5,INTERFACE_REF_NO_5,CUST000005,N,M,A,N,N,E,E,I,SYSTEM_AC_NO_5,M,MIS_UNIT_REF_NO_5,S,E,U,RECV_ORIG_AC_NO_5,GA,B,B,R,CARD,EXTERNAL_REF_NO_,CARD,TXN0000000000000005,2026-01-05 04:28:00,SOURCE_CODE_5,2026-01-05 04:28:00,2026-01-05 04:28:00,5
MO,TRN000000000006,867494,EVEN,739835,006,100000000006,PEN,C,INT,AMOUNT_TAG_6,11564.500,1.59000000,7097.300,CUST000006,100000000006,RELATED_REFERENC,Y,MIS_HEAD_,2026-01-06,2026-01-06,2026-01-06,FINANCIAL,PER,INSTRUMENT_CODE_,BATC,778939,USER_ID_6,BANK_CODE_6,35,B,T,AUTH_ID_6,P,A,C,C,D,NODE_6,Y,O,U,906602,Y,I,F,Y,1,31,Y,G,DEP,CUSTOM_REF_NO_6,INTERFACE_REF_NO_6,CUST000006,Y,M,A,N,Y,E,E,I,SYSTEM_AC_NO_6,M,MIS_UNIT_REF_NO_6,S,E,U,RECV_ORIG_AC_NO_6,GA,B,B,R,CLRG,EXTERNAL_REF_NO_,CLRG,TXN0000000000000006,2026-01-06 05:35:00,SOURCE_CODE_6,2026-01-06 05:35:00,2026-01-06 05:35:00,6
MO,TRN000000000007,193698,EVEN,247600,007,100000000007,EUR,D,REV,AMOUNT_TAG_7,9518.700,3.71000000,12526.400,CUST000007,100000000007,RELATED_REFERENC,N,MIS_HEAD_,2026-01-07,2026-01-07,2026-01-07,FINANCIAL,PER,INSTRUMENT_CODE_,BATC,34149,USER_ID_7,BANK_CODE_7,17,B,T,AUTH_ID_7,P,A,C,C,D,NODE_7,Y,O,U,594618,N,I,F,N,1,7,N,G,DEP,CUSTOM_REF_NO_7,INTERFACE_REF_NO_7,CUST000007,N,M,A,N,N,E,E,I,SYSTEM_AC_NO_7,M,MIS_UNIT_REF_NO_7,S,E,U,RECV_ORIG_AC_NO_7,GA,B,B,R,SAV1,EXTERNAL_REF_NO_,SAV1,TXN0000000000000007,2026-01-07 06:42:00,SOURCE_CODE_7,2026-01-07 06:42:00,2026-01-07 06:42:00,7
MO,TRN000000000008,788372,EVEN,731430,008,100000000008,BRL,C,PAY,AMOUNT_TAG_8,14458.600,3.58000000,12334.000,CUST000008,100000000008,RELATED_REFERENC,N,MIS_HEAD_,2026-01-08,2026-01-08,2026-01-08,FINANCIAL,PER,INSTRUMENT_CODE_,BATC,267438,USER_ID_8,BANK_CODE_8,27,B,T,AUTH_ID_8,P,A,C,C,D,NODE_8,Y,O,U,743485,N,I,F,N,1,3,N,G,DEP,CUSTOM_REF_NO_8,INTERFACE_REF_NO_8,CUST000008,N,M,A,N,N,E,E,I,SYSTEM_AC_NO_8,M,MIS_UNIT_REF_NO_8,S,E,U,RECV_ORIG_AC_NO_8,GA,B,B,R,CURR,EXTERNAL_REF_NO_,CURR,TXN0000000000000008,2026-01-08 07:49:00,SOURCE_CODE_8,2026-01-08 07:49:00,2026-01-08 07:49:00,8
MO,TRN000000000009,677833,EVEN,427232,009,100000000009,USD,D,ATM,AMOUNT_TAG_9,13021.500,2.25000000,17654.100,CUST000009,100000000009,RELATED_REFERENC,N,MIS_HEAD_,2026-01-09,2026-01-09,2026-01-09,FINANCIAL,PER,INSTRUMENT_CODE_,BATC,199974,USER_ID_9,BANK_CODE_9,21,B,T,AUTH_ID_9,P,A,C,C,D,NODE_9,Y,O,U,463646,N,I,F,N,1,6,N,G,DEP,CUSTOM_REF_NO_9,INTERFACE_REF_NO_9,CUST000009,N,M,A,N,N,E,E,I,SYSTEM_AC_NO_9,M,MIS_UNIT_REF_NO_9,S,E,U,RECV_ORIG_AC_NO_9,GA,B,B,R,LOAN,EXTERNAL_REF_NO_,LOAN,TXN0000000000000009,2026-01-09 08:56:00,SOURCE_CODE_9,2026-01-09 08:56:00,2026-01-09 08:56:00,9
MO,TRN000000000010,923047,EVEN,102695,010,100000000010,PEN,C,DEP,AMOUNT_TAG_10,23912.000,3.95000000,6140.400,CUST000010,100000000010,RELATED_REFERENC,N,MIS_HEAD_,2026-01-10,2026-01-10,2026-01-10,FINANCIAL,PER,INSTRUMENT_CODE_,BATC,229518,USER_ID_10,BANK_CODE_10,15,B,T,AUTH_ID_10,P,A,C,C,D,NODE_10,Y,O,U,972281,N,I,F,N,1,27,N,G,DEP,CUSTOM_REF_NO_10,INTERFACE_REF_NO_10,CUST000010,N,M,A,N,N,E,E,I,SYSTEM_AC_NO_10,M,MIS_UNIT_REF_NO_10,S,E,U,RECV_ORIG_AC_NO_10,GA,B,B,R,TD01,EXTERNAL_REF_NO_,TD01,TXN0000000000000010,2026-01-10 09:03:00,SOURCE_CODE_10,2026-01-10 09:03:00,2026-01-10 09:03:00,10
